"No.","Time","Source","Destination","Protocol","Length","Info"
"2134","171.151194","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2140","171.151304","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2158","171.151629","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2164","171.151738","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2180","171.152033","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2186","171.152142","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2196","171.152324","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2209","171.152560","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2215","171.152668","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2221","171.152779","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2230","171.152944","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2236","171.153059","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2244","171.153206","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2251","171.153336","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2257","171.153445","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2267","171.153627","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2275","171.153778","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2281","171.153885","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2293","171.154103","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2308","171.154383","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2314","171.154494","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2332","171.154821","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2338","171.154930","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2349","171.155131","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2355","171.155239","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2365","171.155426","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
"2375","171.155607","192.168.1.2","192.168.1.4","UDP","834","38730  >  4444 Len=8192"
